,Jobs,Application Links,Location,Post Date,Closed Date,Status
15,SECURITY SPECIALIST-Air Force Civilian Career Training,https://www.usajobs.gov/GetJob/ViewDetails/587102400,Multiple Locations,12/14/2020,09/30/2021,OPEN
16,"Tele-Critical Care Physician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/586274500,Multiple Locations,12/04/2020,02/12/2021,OPEN
17,"Registered Nurse - Open Continuous Announcement-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588904300,Multiple Locations,01/08/2021,12/31/2021,OPEN
18,Director National Laboratory for Agriculture and Environment-Agricultural Research Service,https://www.usajobs.gov/GetJob/ViewDetails/589688400,"Ames, Iowa Ames, Iowa",01/19/2021,02/18/2021,OPEN
19,Director Marketing and Trade Economics Division-Economic Research Service,https://www.usajobs.gov/GetJob/ViewDetails/588656300,"Kansas City, Missouri Kansas City, Missouri",01/06/2021,01/27/2021,OPEN
20,Director Resource and Rural Economics Division-Economic Research Service,https://www.usajobs.gov/GetJob/ViewDetails/588656400,"Kansas City, Missouri Kansas City, Missouri",01/06/2021,01/27/2021,OPEN
21,"Health System Specialist (GHATP Trainee)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589743700,"Lexington, Kentucky Lexington, Kentucky",01/20/2021,02/08/2021,OPEN
22,Information Technology Specialist-Executive Office for U.S. Attorneys and the Office of the U.S. Attorneys,https://www.usajobs.gov/GetJob/ViewDetails/589186500,"New York, New York New York, New York",01/12/2021,01/26/2021,OPEN
23,"Graduate Healthcare Administrative Training Program (GHATP) Trainee-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588596400,"Aurora, Colorado Aurora, Colorado",01/07/2021,02/01/2021,OPEN
24,Safety and Occupational Health Specialist (Palace Acquire Intern)-Air Force Civilian Career Training,https://www.usajobs.gov/GetJob/ViewDetails/589058000,"Pittsburgh, Pennsylvania Pittsburgh, Pennsylvania",01/11/2021,09/30/2021,OPEN
25,"Social Worker ( Veterans Justice Outreach)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588433000,"West Palm Beach, Florida West Palm Beach, Florida",01/04/2021,01/25/2021,OPEN
26,"Health System Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589653600,"Salt Lake City, Utah Salt Lake City, Utah",01/15/2021,02/05/2021,OPEN
27,General Supply Specialist-U.S. Secret Service,https://www.usajobs.gov/GetJob/ViewDetails/586023500,"Washington, District of Columbia Washington, District of Columbia",12/02/2020,05/28/2021,OPEN
28,Interdisciplinary (Information Specialist-Recent Graduate)-U.S. Army Corps of Engineers,https://www.usajobs.gov/GetJob/ViewDetails/589322500,"Pittsburgh, Pennsylvania Pittsburgh, Pennsylvania",01/13/2021,01/27/2021,OPEN
29,Administrative Operations Specialist-U.S. Secret Service,https://www.usajobs.gov/GetJob/ViewDetails/586025300,"Laurel, Maryland Laurel, Maryland",12/02/2020,05/28/2021,OPEN
30,Inventory Management Specialist-U.S. Secret Service,https://www.usajobs.gov/GetJob/ViewDetails/585996100,Multiple Locations,12/02/2020,05/28/2021,OPEN
31,"Registered Nurse- Patient Aligned Care Team (PACT)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590079600,"Corpus Christi, Texas Corpus Christi, Texas",01/22/2021,02/01/2021,OPEN
32,Intelligence Research Specialist (Protective)-U.S. Secret Service,https://www.usajobs.gov/GetJob/ViewDetails/586211300,"Washington, District of Columbia Washington, District of Columbia",12/04/2020,05/28/2021,OPEN
33,ATTORNEY ADVISOR-U.S. Secret Service,https://www.usajobs.gov/GetJob/ViewDetails/586013700,"Laurel, Maryland Laurel, Maryland",12/02/2020,05/28/2021,OPEN
34,Public Health Advisor-Centers for Disease Control and Prevention,https://www.usajobs.gov/GetJob/ViewDetails/589712000,"Location Negotiable After Selection, United States",01/20/2021,01/29/2021,OPEN
35,Vehicle Fleet Specialist-U.S. Secret Service,https://www.usajobs.gov/GetJob/ViewDetails/585991900,Multiple Locations,12/02/2020,05/28/2021,OPEN
36,Foreign Affairs Specialist-Field Operating Offices of the Office of the Secretary of the Army,https://www.usajobs.gov/GetJob/ViewDetails/589489800,"Wiesbaden, Germany Wiesbaden, Germany",01/20/2021,01/29/2021,OPEN
37,Associate Professor of English & Writing Center Director-U.S. Air Force Academy,https://www.usajobs.gov/GetJob/ViewDetails/589258300,"Air Force Academy, Colorado Air Force Academy, Colorado",01/15/2021,02/19/2021,OPEN
38,"Registered Nurse (Home Oxygen)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589686000,"San Antonio, Texas San Antonio, Texas",01/19/2021,01/29/2021,OPEN
39,Financial Management Specialist-Deputy Assistant Secretary for Finance,https://www.usajobs.gov/GetJob/ViewDetails/590147800,"Austin, Texas Austin, Texas",01/22/2021,02/11/2021,OPEN
40,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590162100,"Saint Louis, Missouri Saint Louis, Missouri",01/22/2021,02/11/2021,OPEN
41,"Civilian Pay Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589471900,"Wichita, Kansas Wichita, Kansas",01/13/2021,02/04/2021,OPEN
42,Systems & Procedures Analyst-Deputy Assistant Secretary for Finance,https://www.usajobs.gov/GetJob/ViewDetails/588419500,"Austin, Texas Austin, Texas",01/05/2021,01/26/2021,OPEN
43,Systems & Procedures Analyst-Deputy Assistant Secretary for Finance,https://www.usajobs.gov/GetJob/ViewDetails/589088800,"Austin, Texas Austin, Texas",01/11/2021,01/29/2021,OPEN
44,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589121600,"Columbia, South Carolina Columbia, South Carolina",01/12/2021,02/02/2021,OPEN
45,"Program Applications Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590070200,"Charleston, South Carolina Charleston, South Carolina",01/22/2021,02/05/2021,OPEN
46,"Facility Operations Spec-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588938600,"Salisbury, North Carolina Salisbury, North Carolina",01/08/2021,01/27/2021,OPEN
47,Information Security Specialist (NSI)-Centers for Disease Control and Prevention,https://www.usajobs.gov/GetJob/ViewDetails/590012600,"Atlanta, Georgia Atlanta, Georgia",01/22/2021,01/28/2021,OPEN
48,Program Analyst-Office of Inspector General,https://www.usajobs.gov/GetJob/ViewDetails/589838800,"Alexandria, Virginia Alexandria, Virginia",01/20/2021,01/27/2021,OPEN
49,Education Services Specialist-Field Operating Offices of the Office of the Secretary of the Army,https://www.usajobs.gov/GetJob/ViewDetails/589519000,"Austin, Texas Austin, Texas",01/19/2021,01/28/2021,OPEN
50,Education Services Specialist-Field Operating Offices of the Office of the Secretary of the Army,https://www.usajobs.gov/GetJob/ViewDetails/589785300,"Fort Knox, Kentucky Fort Knox, Kentucky",01/21/2021,01/25/2021,OPEN
51,"Inventory Management Specialist (Non-Expendable (NX)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589227400,"Dayton, Ohio Dayton, Ohio",01/12/2021,01/26/2021,OPEN
52,"Program Support Assistant (OA)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589054600,"Lexington, Kentucky Lexington, Kentucky",01/11/2021,02/01/2021,OPEN
53,"Budget Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589872000,"Bay Pines, Florida Bay Pines, Florida",01/21/2021,02/11/2021,OPEN
54,"Physician Assistant (Urology)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589175300,"Lawton, Oklahoma Lawton, Oklahoma",01/12/2021,01/26/2021,OPEN
55,Training Specialist-Deputy Assistant Secretary for Finance,https://www.usajobs.gov/GetJob/ViewDetails/589556700,"Location Negotiable After Selection, United States",01/15/2021,02/05/2021,OPEN
56,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589756900,"Bay Pines, Florida Bay Pines, Florida",01/20/2021,02/03/2021,OPEN
57,"Staff Assistant-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589739000,"Washington, District of Columbia Washington, District of Columbia",01/20/2021,02/09/2021,OPEN
58,"Nurse (Quality Management Specialist/Risk Manager), VN-0610-IV-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589253100,"Glendale, Colorado Glendale, Colorado",01/12/2021,01/27/2021,OPEN
59,"Health System Specialist (Credentialing & Privileging)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588526900,"Des Moines, Iowa Des Moines, Iowa",01/05/2021,01/26/2021,OPEN
60,"Health System Specialist - VISN Credentialing & Privileging Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589347300,"Eagan, Minnesota Eagan, Minnesota",01/13/2021,02/03/2021,OPEN
61,"Supervisory Medical Administration Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588638900,"Little Rock, Arkansas Little Rock, Arkansas",01/06/2021,01/27/2021,OPEN
62,"Medical Administration Specialist (AOD)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588820600,"Orlando, Florida Orlando, Florida",01/07/2021,01/29/2021,OPEN
63,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589211800,"New Orleans, Louisiana New Orleans, Louisiana",01/13/2021,02/03/2021,OPEN
64,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589493800,"Fargo, North Dakota Fargo, North Dakota",01/14/2021,02/04/2021,OPEN
65,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589700400,"Atlanta, Georgia Atlanta, Georgia",01/19/2021,02/08/2021,OPEN
66,"Supervisory Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589713600,"Augusta, Georgia Augusta, Georgia",01/19/2021,01/25/2021,OPEN
67,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589774300,"New Orleans, Louisiana New Orleans, Louisiana",01/20/2021,02/09/2021,OPEN
68,"Health System Specialist (Credentialing and Privileging)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589900900,"Dayton, Ohio Dayton, Ohio",01/21/2021,02/11/2021,OPEN
69,SPACE MANAGEMENT SPECIALIST-Washington Headquarters Services,https://www.usajobs.gov/GetJob/ViewDetails/589159300,"Pentagon, Arlington, Virginia Pentagon, Arlington, Virginia",01/12/2021,01/25/2021,OPEN
70,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588950300,"Madison, Wisconsin Madison, Wisconsin",01/08/2021,01/29/2021,OPEN
71,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589058700,"Salem, Virginia Salem, Virginia",01/13/2021,02/02/2021,OPEN
72,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589561200,"Greenville, North Carolina Greenville, North Carolina",01/18/2021,02/08/2021,OPEN
73,SUBSTANCE ABUSE CLINICAL COUNSELOR NF4-U.S. Marine Corps,https://www.usajobs.gov/GetJob/ViewDetails/589732500,"Twentynine Palms, California Twentynine Palms, California",01/06/2021,02/03/2021,OPEN
74,"Secretary (OA)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589909200,"North Chicago, Illinois North Chicago, Illinois",01/20/2021,02/09/2021,OPEN
75,"Health Tech (Hearing)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589124100,"Tulsa, Oklahoma Tulsa, Oklahoma",01/11/2021,01/29/2021,OPEN
76,"Administrative Officer-Veterans Affairs, National Cemetery Administration",https://www.usajobs.gov/GetJob/ViewDetails/589522900,"Zachary, Louisiana Zachary, Louisiana",01/14/2021,01/25/2021,OPEN
77,"Health System Specialist-Credentialing Coordinator-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590177100,"Altoona, Pennsylvania Altoona, Pennsylvania",01/22/2021,02/11/2021,OPEN
78,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589948400,"West Roxbury, Massachusetts West Roxbury, Massachusetts",01/21/2021,02/04/2021,OPEN
79,IT SPECIALIST (INFOSEC/CUSTSPT)-Office of the Secretary of Defense,https://www.usajobs.gov/GetJob/ViewDetails/590070100,"Hickam AFB, Hawaii Hickam AFB, Hawaii",01/22/2021,02/05/2021,OPEN
80,TRAINING INSTRUCTOR-Defense Intelligence Agency,https://www.usajobs.gov/GetJob/ViewDetails/589800800,"Washington, District of Columbia Washington, District of Columbia",01/19/2021,02/02/2021,OPEN
81,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589680500,"Salisbury, North Carolina Salisbury, North Carolina",01/19/2021,02/09/2021,OPEN
82,"Assistant Nurse Manager Medical/Surgical-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590030400,"Orlando, Florida Orlando, Florida",01/22/2021,01/28/2021,OPEN
83,"Health System Specialist (System Redesign)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590009100,"Columbia, Missouri Columbia, Missouri",01/21/2021,02/01/2021,OPEN
84,"Budget Analyst-Veterans Affairs, National Cemetery Administration",https://www.usajobs.gov/GetJob/ViewDetails/588840400,"Phoenix, Arizona Phoenix, Arizona",01/07/2021,01/28/2021,OPEN
85,"Budget Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589014100,"Albuquerque, New Mexico Albuquerque, New Mexico",01/12/2021,01/26/2021,OPEN
86,"Surgical Technician (Temporary NTE 1 Year COVID-19)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589248600,"Orlando, Florida Orlando, Florida",01/12/2021,02/03/2021,OPEN
87,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589379300,"Fayetteville, Arkansas Fayetteville, Arkansas",01/14/2021,01/25/2021,OPEN
88,"Management Analyst-Veterans Affairs, National Cemetery Administration",https://www.usajobs.gov/GetJob/ViewDetails/589572300,"Culpeper, Virginia Culpeper, Virginia",01/15/2021,02/05/2021,OPEN
89,"Supervisory Management Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589592000,"Parma, Ohio Parma, Ohio",01/15/2021,01/25/2021,OPEN
90,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589690300,"Topeka, Kansas Topeka, Kansas",01/19/2021,02/08/2021,OPEN
91,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589945800,"Tucson, Arizona Tucson, Arizona",01/21/2021,01/26/2021,OPEN
92,"Government Information Special-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589243400,"Honolulu, Hawaii Honolulu, Hawaii",01/12/2021,02/02/2021,OPEN
93,"Management Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589246200,"Ann Arbor, Michigan Ann Arbor, Michigan",01/12/2021,02/03/2021,OPEN
94,"Inventory Management Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589918000,"Charleston, South Carolina Charleston, South Carolina",01/21/2021,01/27/2021,OPEN
95,"Supervisory Medical Admin. Specialist (Chief)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590070300,"Charleston, South Carolina Charleston, South Carolina",01/22/2021,02/05/2021,OPEN
96,"Medical Administrative Specialist (Trainee)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590120000,"Tulsa, Oklahoma Tulsa, Oklahoma",01/22/2021,01/29/2021,OPEN
97,"Program Analyst (Not To Exceed Two Years)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589292300,"North Chicago, Illinois North Chicago, Illinois",01/13/2021,01/29/2021,OPEN
98,"Consruction Control Inspector-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589317900,"Baltimore, Maryland Baltimore, Maryland",01/13/2021,02/03/2021,OPEN
99,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588350500,"San Francisco, California San Francisco, California",01/04/2021,01/25/2021,OPEN
100,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588384500,"Mather AFB, California Mather AFB, California",01/05/2021,01/26/2021,OPEN
101,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588669400,"Montgomery, Alabama Montgomery, Alabama",01/05/2021,01/26/2021,OPEN
102,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588689100,"Salt Lake City, Utah Salt Lake City, Utah",01/06/2021,01/27/2021,OPEN
103,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588775500,"Fresno, California Fresno, California",01/08/2021,01/29/2021,OPEN
104,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588820700,"Chillicothe, Ohio Chillicothe, Ohio",01/07/2021,01/27/2021,OPEN
105,"Assistant Nurse Manager GEC - Perry Point-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588919800,"Perry Point, Maryland Perry Point, Maryland",01/08/2021,01/25/2021,OPEN
106,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589328000,"Huntington, West Virginia Huntington, West Virginia",01/13/2021,01/27/2021,OPEN
107,"Supervisory Medical Administration Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589577300,"Lafayette, Louisiana Lafayette, Louisiana",01/15/2021,01/29/2021,OPEN
108,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589620100,"Tucson, Arizona Tucson, Arizona",01/15/2021,01/29/2021,OPEN
109,"Nurse Manager Ambulatory/Primary Care-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590029600,"Orlando, Florida Orlando, Florida",01/22/2021,02/04/2021,OPEN
110,"Medical Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590126800,"Grand Junction, Colorado Grand Junction, Colorado",01/22/2021,02/08/2021,OPEN
111,"Medical Technician Not To Exceed 9/30/21-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590132000,"Grand Junction, Colorado Grand Junction, Colorado",01/22/2021,02/08/2021,OPEN
112,"Registered Nurse-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/582346100,"Biloxi, Mississippi Biloxi, Mississippi",10/21/2020,09/30/2021,OPEN
113,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589842800,"Reno, Nevada Reno, Nevada",01/21/2021,02/01/2021,OPEN
114,"Health Technician (Optometry)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588895400,"Ocala, Florida Ocala, Florida",01/08/2021,01/28/2021,OPEN
115,"Intermediate Care Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589739900,"Iowa City, Iowa Iowa City, Iowa",01/20/2021,02/09/2021,OPEN
116,"Inventory Management Specialist EX-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589763700,Multiple Locations,01/20/2021,02/08/2021,OPEN
117,"Training Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589803800,Multiple Locations,01/20/2021,02/09/2021,OPEN
118,"Inventory Management Specialist NX-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590003400,"Orlando, Florida Orlando, Florida",01/22/2021,02/10/2021,OPEN
119,Management Analyst-Immediate Office of the Assistant Secretary for Management,https://www.usajobs.gov/GetJob/ViewDetails/590169600,"Washington, District of Columbia Washington, District of Columbia",01/22/2021,02/01/2021,OPEN
120,"Health Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/581491100,"Louisville, Kentucky Louisville, Kentucky",10/13/2020,04/30/2021,OPEN
121,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588498100,"Madison, Wisconsin Madison, Wisconsin",01/05/2021,01/26/2021,OPEN
122,"Acquisition & Utilization Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588808200,"Hampton, Virginia Hampton, Virginia",01/09/2021,01/29/2021,OPEN
123,"Health System Specialist (Credentialing and Privileging Specialist)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589141600,"Fairfield, California Fairfield, California",01/11/2021,01/25/2021,OPEN
124,"Health Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589346000,"Mather AFB, California Mather AFB, California",01/13/2021,02/04/2021,OPEN
125,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589369200,"Togus, Maine Togus, Maine",01/13/2021,02/03/2021,OPEN
126,"Health System Specialist (GHATP Trainee)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589405900,"Louisville, Kentucky Louisville, Kentucky",01/13/2021,01/26/2021,OPEN
127,"Management Analyst-Veterans Affairs, National Cemetery Administration",https://www.usajobs.gov/GetJob/ViewDetails/589420700,"Salisbury, North Carolina Salisbury, North Carolina",01/14/2021,02/04/2021,OPEN
128,"Surgical Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589499200,"San Diego, California San Diego, California",01/14/2021,02/01/2021,OPEN
129,"Supervisory Medical Administrative Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589662500,"Portland, Oregon Portland, Oregon",01/15/2021,01/25/2021,OPEN
130,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589704700,"Washington, District of Columbia Washington, District of Columbia",01/19/2021,02/08/2021,OPEN
131,"Program Specialist-MVP Coord-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589724100,"Detroit, Michigan Detroit, Michigan",01/19/2021,02/08/2021,OPEN
132,"Patient Representative-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590050900,"Fayetteville, Arkansas Fayetteville, Arkansas",01/22/2021,02/05/2021,OPEN
133,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589709100,"Memphis, Tennessee Memphis, Tennessee",01/19/2021,02/08/2021,OPEN
134,"Human Resources Specialist (Performance Management)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589986900,"Gainesville, Florida Gainesville, Florida",01/05/2021,01/28/2021,OPEN
135,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589863900,"West Haven, Connecticut West Haven, Connecticut",01/20/2021,02/09/2021,OPEN
136,Student Trainee (Human Resources)-Cybersecurity and Infrastructure Security Agency,https://www.usajobs.gov/GetJob/ViewDetails/586914500,"Arlington County, Virginia Arlington County, Virginia",12/14/2020,01/28/2021,OPEN
137,"Emergency Management Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588303200,"Martinsburg, West Virginia Martinsburg, West Virginia",01/04/2021,01/25/2021,OPEN
